gene_id,gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
XIAP,XIAP,952.9581951541841,0.1741195204581895,0.09591970405864267,0.05711108598639094,0.1547783936385514
DPF2,DPF2,1012.7966827388198,-0.16707304520557636,0.0921928831845807,0.0571683958580093,0.1548717590050568
LPCAT1,LPCAT1,1206.5086627235496,0.23069586684527785,0.13348517273416463,0.05716808078062515,0.1548717590050568
NCAPG,NCAPG,111.06471231797092,-0.3003841496826603,0.1909704980687745,0.05717751499092331,0.1548717590050568
UFD1L,UFD1L,741.1168870933946,0.18844246302116552,0.10505842623829674,0.057232744015664284,0.15499245811809625
FAM211B,FAM211B,127.56813165120215,-0.31964387833261465,0.21223611351623045,0.05739186037512311,0.15539439794822282
LOC101929157,LOC101929157,40.545361140537715,-0.3822240765947839,0.3004936572668034,0.057534435743707056,0.1557514098975815
C2orf43,C2orf43,319.1784873910402,-0.21307443370541576,0.12147153742437593,0.0576166103458825,0.15591984204285683
LEPR,LEPR,857.499976247163,0.2720334810176744,0.16904235561351139,0.057618117690694366,0.15591984204285683
SLFNL1,SLFNL1,12.9206749607858,0.32759215722119717,0.4732219208047834,0.05776519859209498,0.15628874680531618
PDE3B,PDE3B,402.1446164408489,-0.28899755812286965,0.18374201709824828,0.057813533717025745,0.15638190723878395
RGS14,RGS14,67.11341128449445,-0.33985740652481794,0.23354624749836964,0.0578211580760374,0.15638190723878395
DDX5,DDX5,14056.476466792363,0.14015139421962236,0.07709983570220412,0.05783371480428225,0.15638675644731379
MED10,MED10,441.7271985816083,0.19470265442664383,0.10919508471324499,0.057879701351725356,0.15648198379963113
FANCL,FANCL,131.21858138925003,-0.2766912107358385,0.16974318837238592,0.05793072466047207,0.15656166268452357
ZNF772,ZNF772,127.81277090016889,-0.302717056806757,0.19434394520808085,0.057923049082452854,0.15656166268452357
SHISA3,SHISA3,25.345070494496,-0.40237702307617085,0.41118977966384074,0.05797951529789284,0.15666438120942627
UBE2O,UBE2O,496.43347255711603,0.18236394319108748,0.1029065427255745,0.058017216437200696,0.15673710256900128
CALCRL,CALCRL,37.410931489336484,-0.38234042145841574,0.30049527256701525,0.058100806179506775,0.15693374474475813
AFMID,AFMID,258.6549185416618,0.2306214361855286,0.13406073908697802,0.05817737373604852,0.1571113500020537
LOC101929385,LOC101929385,54.7284613458607,0.3499432384282994,0.24876648447378127,0.05823742289840213,0.15724428866212312
NFIC,NFIC,4257.014509859512,0.17111255235060804,0.09530994623131213,0.05827149536646872,0.15730705243021628
ATAD2,ATAD2,416.33785112359016,-0.2115014808867319,0.12113707972445467,0.05829801127605336,0.1573310394157377
CD97,CD97,667.882331080372,0.29415523852025294,0.1896744022873305,0.05830848420025002,0.1573310394157377
PHF23,PHF23,794.0943714496486,-0.21330748848286452,0.12263817000043185,0.05831286717969217,0.1573310394157377
ZNF214,ZNF214,73.10768346591976,-0.3304443083820378,0.2243244495280894,0.05837951885667166,0.15748162448358385
LOC102724330,LOC102724330,10.349843602790246,-0.32201484636016114,0.47601390319127823,0.058440337563261356,0.15761642184084357
SSH3,SSH3,829.0409733784744,0.1796214116086606,0.10019449573640471,0.0584617674256056,0.15764495525735409
FLII,FLII,3729.103266475044,0.15772316387154195,0.08674368267547489,0.058504073218831644,0.15772976058571253
DPY19L2P2,DPY19L2P2,31.902660394706164,-0.3971380706452326,0.3816192576145315,0.05851493223097711,0.15772976816027207
C1QTNF9B,C1QTNF9B,21.64946813564335,-0.4083407723372627,0.4006150865700114,0.058670865412672774,0.158069201601859
CAMKMT,CAMKMT,84.04254936446128,-0.32226541165122824,0.21559937876812085,0.05865844578312133,0.158069201601859
INO80C,INO80C,58.88528031313981,-0.3444446118004313,0.24202523820110636,0.05868437424739676,0.158069201601859
ZNF549,ZNF549,129.3797958888736,-0.2892637249971377,0.18256479659394217,0.058674153637683274,0.158069201601859
ZNF195,ZNF195,196.16853961366704,-0.26273429269549686,0.15797124548200803,0.05872946906258968,0.1581613449509482
NDUFV2,NDUFV2,917.846567413657,0.1832159255966664,0.1024692806814712,0.05878984287432155,0.15829459361027015
UHRF1,UHRF1,84.97353338158528,-0.3708100250111365,0.29591864875692425,0.058804257423552136,0.15830406820581602
FCHSD2,FCHSD2,748.8002549869668,0.1990126431002459,0.11292682844430803,0.05883271034756165,0.15835132431265714
PPP1R14B,PPP1R14B,704.2689842574564,-0.21114056109475585,0.12090093849265633,0.058857796230149195,0.15838950202404847
PROSC,PROSC,551.9220743783768,0.19954111923727424,0.1131527388566254,0.05887241842065602,0.15839951245068729
GLTP,GLTP,1034.2958513383705,0.17195950301231702,0.09559912005520418,0.05889421415049211,0.15842881640298093
OLFML3,OLFML3,3759.6308581826506,0.13400254665991324,0.0721051309470162,0.05892621268680101,0.15848555056026134
SPTBN1,SPTBN1,11727.167764096763,0.1440147382678475,0.07892129473397008,0.05895673684442459,0.15853829902140382
TCN2,TCN2,307.7865077678644,-0.21730905253933372,0.1259835832353942,0.058970955034011625,0.15854718832145723
FIGNL1,FIGNL1,156.57174510769758,-0.27153979978428855,0.16695905055937077,0.05902443597749933,0.1586616152298035
DGKH,DGKH,107.72095400818955,0.32271462442693505,0.218446880014989,0.05904397886429613,0.15868478892329976
TRIM16L,TRIM16L,170.4377280551792,-0.2588074977785805,0.1567236158694626,0.05907125306411039,0.15872872864221563
C2orf68,C2orf68,406.3937859722327,-0.24652172447560078,0.14747386856661732,0.05912864543948183,0.15885356686209903
CYB5B,CYB5B,952.6310269777586,-0.16325077525194026,0.09081880511608788,0.059261933349935673,0.15912727595830428
CYLD,CYLD,1096.1919748672494,-0.17978577756413774,0.10078296638885767,0.05924597770091093,0.15912727595830428
IL18BP,IL18BP,68.71270502070321,-0.3350838157610489,0.23198396037536254,0.059263382903873944,0.15912727595830428
WRAP73,WRAP73,240.1056385377068,0.2283929528060635,0.13297573912474783,0.059349038220362776,0.1593278226725149
NDN,NDN,1456.6519146700766,-0.16293533424833878,0.0900679392011189,0.059366323495554776,0.15934478368130708
DNAJC16,DNAJC16,605.0101223096707,0.18450547585431729,0.10379497513691575,0.059382689183486194,0.15935927062188232
GOLGA8M,GOLGA8M,24.681620443540233,0.4042372693979229,0.39423450453094705,0.05948240261730173,0.15953845811828996
ORMDL2,ORMDL2,179.2136836775024,0.2752694162553643,0.1706891098262617,0.05946860224036562,0.15953845811828996
