ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0006959,humoral immune response,75,-0.46273053384585866,-1.517690854431585,0.01450843822438677,0.2628613452248919,0.23131309717366547,1673,"tags=28%, list=13%, signal=24%",3958/5919/3426/717/629/6347/2627/596/4208/721/720/7942/3569/9308/6356/10584/6387/5452/6354/29760/85480,0.3807304007227924
GO:2000351,regulation of endothelial cell apoptotic process,33,0.5643967313574212,1.5173267919201519,0.04807692307692308,0.44456288115749565,0.39120707094080026,1416,"tags=39%, list=11%, signal=35%",28984/7057/2309/5598/958/284/7128/3676/79155/2152/7857/5054/3690,0.2878571172551493
GO:0030336,negative regulation of cell migration,202,0.41833846619386966,1.5159190298086853,0.0039149483410776354,0.1695287239155342,0.14918212548616308,1176,"tags=19%, list=9%, signal=17%",247/1843/28984/104/89795/6781/7057/79772/4739/10370/3622/2309/8819/388/23189/347/2043/5468/4771/6722/5793/94/7414/4681/25932/7026/90627/1992/10014/3418/397/1845/5795/7168/56999/23560/10193/6422,0.40701791892395395
GO:1901890,positive regulation of cell junction assembly,61,-0.4835690871718235,-1.5158337755210531,0.016607869009331925,0.2674943998850076,0.23539009914552012,1607,"tags=26%, list=13%, signal=23%",54413/9647/6385/4088/64218/4867/6910/7058/1307/349667/183/7422/2049/2048/131578/84189,0.35248785758361917
GO:0000045,autophagosome assembly,102,0.45846400043366176,1.5151550888654508,0.013365606039329772,0.2549753249376465,0.22437354592296163,2999,"tags=39%, list=23%, signal=30%",440738/488/9706/55062/23673/23032/2475/84557/58476/203228/8987/339122/23710/120892/9531/51100/81671/79065/11345/65018/26100/25989/64112/5289/55054/9554/5899/83460/9474/165324/200576/8678/5305/29979/9776/23130/11152/664/8723/84971,0.3807304007227924
GO:0032743,positive regulation of interleukin-2 production,30,0.5569915138266622,1.514618979728261,0.04936270497430405,0.4481007482520342,0.39432032821461654,1565,"tags=27%, list=12%, signal=23%",5336/3662/4860/861/5686/10892/301/5144,0.3217759180753611
GO:0030330,"DNA damage response, signal transduction by p53 class mediator",63,-0.47963275062735045,-1.5137099914520697,0.015116830298598144,0.2628613452248919,0.23131309717366547,2913,"tags=41%, list=23%, signal=32%",960/835/546/340485/51499/8533/11200/51147/23028/1263/1029/4683/4194/5716/972/7157/6615/2305/602/4193/25946/83667/1026/10769/144455/6659,0.3807304007227924
GO:0031579,membrane raft organization,20,0.6240980916439324,1.513436374407009,0.04868913857677903,0.44456288115749565,0.39120707094080026,1029,"tags=40%, list=8%, signal=37%",91663/4864/302/857/858/2013/11252/2934,0.2820133500117251
GO:0030856,regulation of epithelial cell differentiation,76,0.4772392764262505,1.5125435654827228,0.03165925717700608,0.3540409502594337,0.31154945456416305,1747,"tags=36%, list=14%, signal=31%",247/54206/2668/8202/23764/55273/5583/94/7414/9475/654/84913/857/200734/10253/6093/5054/50848/1051/694/6935/168850/10252/4825/161742/7538/6772,0.3217759180753611
GO:0035567,non-canonical Wnt signaling pathway,50,0.5164486005070839,1.51196343308708,0.020754208233912566,0.29953589012704523,0.2635860149033295,1392,"tags=24%, list=11%, signal=21%",85407/8325/7855/23500/2487/128272/8323/166336/8322/6422/22943/84870,0.35248785758361917
GO:0042311,vasodilation,24,-0.5819681673184369,-1.5114292660810384,0.04970178926441352,0.4481007482520342,0.39432032821461654,2026,"tags=46%, list=16%, signal=39%",1373/10365/2549/136/5592/949/3778/2852/134/150/624,0.2878571172551493
GO:0002064,epithelial cell development,85,0.4759156688748851,1.5110477791143444,0.014639970706610368,0.2628613452248919,0.23131309717366547,1731,"tags=31%, list=14%, signal=27%",9414/6781/10653/91663/10855/59/6009/4643/51421/5339/7414/9475/654/1832/2054/6093/4233/2316/196383/9223/50848/80781/5144/4825/5908/10413,0.3807304007227924
GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,59,-0.481951231747295,-1.5103235316982109,0.017365241394996827,0.2725971450000705,0.23988041998612583,627,"tags=22%, list=5%, signal=21%",3269/1909/1129/23236/183/2099/3356/7422/1901/150/886/8111/2847,0.35248785758361917
