category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,29/1750,63/5535,0.4603174603174603,1.4559183673469385,2.4745143629345585,0.011198536585316053,0.036212090266536025,0.036212090266536025,6655/3105/3265/836/8503/5296/5290/5295/4893/5879/6452/5881/2185/8743/5595/5293/100507436/5604/5894/4277/3106/5336/53358/8795/3459/5291/3133/353091/5781,29
Human Diseases,Cancer: specific types,hsa05213,Endometrial cancer,25/1750,53/5535,0.4716981132075472,1.4919137466307277,2.446600376349665,0.012479437844224615,0.039622951827831175,0.039622951827831175,6655/3265/8503/5296/5290/5295/4893/1643/1026/5595/5293/207/4616/5604/5894/83439/3611/7157/5728/4609/8313/5291/2309/4292/2002,25
Organismal Systems,Nervous system,hsa04724,Glutamatergic synapse,33/1750,74/5535,0.44594594594594594,1.4104633204633206,2.416906142708112,0.012482374997784965,0.039622951827831175,0.039622951827831175,5321/2752/2776/196883/6512/2790/23236/6505/775/1742/5595/114/2783/54407/2744/2787/23154/5332/54331/59345/8605/81539/109/2890/5567/2897/3708/3709/2900/2892/107/2770/5337,33
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,23/1750,48/5535,0.4791666666666667,1.5155357142857144,2.4390323202002318,0.013014016828837634,0.04093499838888928,0.04093499838888928,3778/886/54795/2776/196883/477/23236/775/1385/114/468/5332/815/64764/109/476/11069/5567/6844/481/90993/107/9586,23
Organismal Systems,Endocrine system,hsa04913,Ovarian steroidogenesis,17/1750,33/5535,0.5151515151515151,1.6293506493506493,2.465443312741742,0.013451590882248964,0.04193018419151479,0.04193018419151479,5321/5743/3643/196883/641371/3949/1588/114/10965/8605/109/8644/5567/949/3480/654/107,17
Organismal Systems,Nervous system,hsa04727,GABAergic synapse,22/1750,46/5535,0.4782608695652174,1.512670807453416,2.3739772282704297,0.015373193772227409,0.04707190305478481,0.047071903054784814,2752/196883/2790/775/23710/114/2783/54407/2744/2564/2787/18/54331/59345/81539/109/66008/5567/92745/107/2770/11345,22
Organismal Systems,Endocrine system,hsa04918,Thyroid hormone synthesis,22/1750,46/5535,0.4782608695652174,1.512670807453416,2.3739772282704297,0.015373193772227409,0.04707190305478481,0.047071903054784814,2878/2776/196883/477/23236/1385/114/493869/468/5332/2936/64764/109/476/5567/3708/2876/481/90993/3709/107/9586,22
Organismal Systems,Digestive system,hsa04981,Folate transport and metabolism,11/1750,19/5535,0.5789473684210527,1.8311278195488723,2.467391991699149,0.015846069426249287,0.048094210714756606,0.048094210714756606,10057/6470/10257/2352/8714/7298/4363/2356/23743/4522/6472,11
Organismal Systems,Digestive system,hsa04976,Bile secretion,18/1750,36/5535,0.5,1.5814285714285714,2.3796408717375384,0.01611798308457276,0.04849410562836674,0.048494105628366736,57552/123264/10257/196883/3949/477/8714/114/109/476/5244/6522/5567/481/8671/949/5243/107,18
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",37/1750,86/5535,0.43023255813953487,1.360764119601329,2.292555293160449,0.016394774854708923,0.04890165603214903,0.04890165603214903,4209/11214/2776/196883/4324/6446/4205/1026/23236/9138/1385/4040/5595/3727/114/9943/408/468/5332/5604/5894/5143/64764/109/4208/5567/3708/596/65266/90993/3709/2768/9935/107/2770/9586/5337,37
Human Diseases,Cancer: specific types,hsa05226,Gastric cancer,45/1750,108/5535,0.4166666666666667,1.3178571428571428,2.268138665050963,0.016716106104866197,0.04943395480584363,0.04943395480584362,6655/4233/3265/8322/8503/4088/5296/5290/8325/5295/4893/1643/1026/7474/4040/2263/5595/2549/7048/5293/1030/207/4616/5604/5894/83439/8323/3082/5925/53358/8324/1856/2255/2475/7157/2246/4609/8313/5291/596/4292/5243/7042/7472/7855,45
Metabolism,Lipid metabolism,hsa00564,Glycerophospholipid metabolism,31/1750,70/5535,0.44285714285714284,1.4006938775510203,2.293888495655968,0.016983152165118715,0.04966886185642099,0.04966886185642099,5321/253558/5320/10400/259230/23171/54947/23175/2820/56261/64900/10162/10423/81544/166929/8760/9162/23761/151056/8605/1119/9791/129642/142891/5833/1120/10555/23659/54675/55326/5337,31
