gene_id	gene_name	SRX384345	SRX384346	SRX384349	SRX384350	SRX384353	SRX384354	SRX384357	SRX384358
FLJ32255	FLJ32255	76	80	109	68	94	98	84	92
FLJ32756	FLJ32756	2	0	0	0	0	0	0	0
FLJ32790	FLJ32790	0	0	0	3.008	0	0	0	0
FLJ33360	FLJ33360	0	0	0	0	1	2	0	0
FLJ33534	FLJ33534	0	0	0	0	0	0	0	0
FLJ33544	FLJ33544	0	0	0	0	0	0	0	0
FLJ33581	FLJ33581	0	0	0	0	0	0	0	0
FLJ34503	FLJ34503	3	0	5	1	1	0	6	0
FLJ35282	FLJ35282	91	91	45	41	15	11	42	42
FLJ35934	FLJ35934	2	1	0	1	7	1.742	7	2
FLJ36000	FLJ36000	4	1	4	2	8	7	5	5
FLJ36777	FLJ36777	9	1	16	4	11	7	5	9
FLJ37035	FLJ37035	21.523	5.794	29.124	3.569	19.665	6.661	14.848	6.188
FLJ37201	FLJ37201	6	2	11	6	9	1	17	4
FLJ37453	FLJ37453	30	38	27	23	29	30	36	34
FLJ37505	FLJ37505	0	0	0	0	0	0	0	0
FLJ38122	FLJ38122	0	0	0	0	0	0	0	0
FLJ38379	FLJ38379	0	0	0	0	0	1	0	0
FLJ38576	FLJ38576	3	2	2	1	2	0	0	3
FLJ38668	FLJ38668	14	4	33	8	23	9	28	12
FLJ38717	FLJ38717	38	19	37	21	34	38	36	20
FLJ38723	FLJ38723	0	0	0	0	0	0	0	0
FLJ39080	FLJ39080	0	0	0	0	0	0	0	0
FLJ39095	FLJ39095	12	5	17	7	10	18	4	11
FLJ39632	FLJ39632	63.261	25	40.051	19	137.386	172.939	36.501	28.617
FLJ40194	FLJ40194	0	0	0	0	0	0	0	0
FLJ40288	FLJ40288	0	0	0	0	0	0	0	0
FLJ40448	FLJ40448	2	2	1	0	0	1	0	1
FLJ41200	FLJ41200	0	0	0	0	1	0	0	0
FLJ41278	FLJ41278	0	0	0	0	0	0	0	0
FLJ41309	FLJ41309	5	12	10	2	5	8	3	8.067
FLJ41423	FLJ41423	0	0	1.001	0	0	0	0	0
FLJ41481	FLJ41481	5	2	12	7	9	4	5	8
FLJ41733	FLJ41733	0	0	0	0	0	0	0	0
FLJ41941	FLJ41941	0	1	0	0	0	0	0	0
FLJ42102	FLJ42102	0	0	0	0	0	0	0	0
FLJ42258	FLJ42258	36	32	62	21	65	60	34	23
FLJ42351	FLJ42351	4	10	10	7	8	17	2	4
FLJ42393	FLJ42393	0	0	0	0	0	1	0	0
FLJ42627	FLJ42627	208.373	157.587	308.137	98.212	338.279	334.4	474.687	394.069
FLJ42842	FLJ42842	0	2	0	1	1	1	1	2.055
FLJ42969	FLJ42969	0	0	1	0	1	0	0	0
FLJ43315	FLJ43315	0	0	0	0	1	0	0	0
FLJ43585	FLJ43585	0	0	0	0	0	0	0	0
FLJ43681	FLJ43681	61.164	35.919	24.797	13.429	39.752	33.175	34.756	37.065
FLJ43879	FLJ43879	2	0	1	2	3	9	0	4
FLJ44006	FLJ44006	2	1	1	2	2	1	1	2
FLJ44087	FLJ44087	2	8	6	4	5	11	6	9
FLJ44313	FLJ44313	7	7	13	2	10	14	5	7
FLJ44342	FLJ44342	80	100	131.001	86.032	147	158	121	108
FLJ44511	FLJ44511	4	6	1	1	9	2	5	6
FLJ44635	FLJ44635	2.08	0	0	0	0	2.089	2.07	1.031
FLJ44790	FLJ44790	0	0	1	2	2	1	2	1
